,Station,Year,Month,Monthly_mm
92,PKK001,1988,9,133.2
93,PKK001,1988,10,78.8
94,PKK001,1988,11,30.7
95,PKK001,1988,12,8.7
96,PKK001,1989,1,7.6
97,PKK001,1989,2,13.9
98,PKK001,1989,3,19.9
99,PKK001,1989,4,52.5
100,PKK001,1989,5,143.9
101,PKK001,1989,6,210.8
102,PKK001,1989,7,181.3
103,PKK001,1989,8,137.9
104,PKK001,1989,9,165.6
105,PKK001,1989,10,127.7
106,PKK001,1989,11,24.799999999999997
107,PKK001,1989,12,8.5
108,PKK001,1990,1,4.0
109,PKK001,1990,2,8.3
110,PKK001,1990,3,20.2
111,PKK001,1990,4,68.89999999999999
112,PKK001,1990,5,93.89999999999999
113,PKK001,1990,6,135.1
114,PKK001,1990,7,153.3
115,PKK001,1990,8,215.1
116,PKK001,1990,9,209.2
117,PKK001,1990,10,136.4
118,PKK001,1990,11,28.4
119,PKK001,1990,12,10.5
120,PKK001,1991,1,8.6
121,PKK001,1991,2,3.2
122,PKK001,1991,3,31.2
123,PKK001,1991,4,59.9
124,PKK001,1991,5,142.0
125,PKK001,1991,6,106.5
126,PKK001,1991,7,135.6
127,PKK001,1991,8,203.8
128,PKK001,1991,9,114.10000000000001
129,PKK001,1991,10,179.7
130,PKK001,1991,11,50.300000000000004
131,PKK001,1991,12,3.9
132,PKK001,1992,1,3.3
133,PKK001,1992,2,2.4
134,PKK001,1992,3,11.700000000000001
135,PKK001,1992,4,48.6
136,PKK001,1992,5,145.2
137,PKK001,1992,6,155.8
138,PKK001,1992,7,189.5
139,PKK001,1992,8,124.7
140,PKK001,1992,9,129.0
141,PKK001,1992,10,141.1
142,PKK001,1992,11,36.9
143,PKK001,1992,12,5.3
144,PKK001,1993,1,11.9
145,PKK001,1993,2,10.4
146,PKK001,1993,3,26.3
147,PKK001,1993,4,52.4
148,PKK001,1993,5,179.9
149,PKK001,1993,6,163.1
150,PKK001,1993,7,186.6
151,PKK001,1993,8,132.7
152,PKK001,1993,9,71.0
153,PKK001,1993,10,136.0
154,PKK001,1993,11,55.3
155,PKK001,1993,12,7.0
156,PKK001,1994,1,3.4
157,PKK001,1994,2,4.4
158,PKK001,1994,3,41.699999999999996
159,PKK001,1994,4,51.300000000000004
160,PKK001,1994,5,105.6
161,PKK001,1994,6,70.4
162,PKK001,1994,7,137.2
163,PKK001,1994,8,186.8
164,PKK001,1994,9,138.0
165,PKK001,1994,10,125.4
166,PKK001,1994,11,47.4
167,PKK001,1994,12,11.7
168,PKK001,1995,1,10.5
169,PKK001,1995,2,7.9
170,PKK001,1995,3,13.6
171,PKK001,1995,4,67.0
172,PKK001,1995,5,119.0
173,PKK001,1995,6,89.0
174,PKK001,1995,7,181.8
175,PKK001,1995,8,179.5
176,PKK001,1995,9,118.2
177,PKK001,1995,10,153.4
178,PKK001,1995,11,26.5
179,PKK001,1995,12,4.1
180,PKK001,1996,1,1.1
181,PKK001,1996,2,20.400000000000002
182,PKK001,1996,3,31.2
183,PKK001,1996,4,41.9
184,PKK001,1996,5,140.0
185,PKK001,1996,6,142.4
186,PKK001,1996,7,230.9
187,PKK001,1996,8,135.2
188,PKK001,1996,9,187.6
189,PKK001,1996,10,120.2
190,PKK001,1996,11,35.9
191,PKK001,1996,12,9.4
192,PKK001,1997,1,2.5999999999999996
193,PKK001,1997,2,4.8
194,PKK001,1997,3,31.0
195,PKK001,1997,4,63.900000000000006
196,PKK001,1997,5,111.8
197,PKK001,1997,6,136.6
198,PKK001,1997,7,183.6
199,PKK001,1997,8,178.4
200,PKK001,1997,9,100.6
201,PKK001,1997,10,84.39999999999999
202,PKK001,1997,11,69.1
203,PKK001,1997,12,10.4
204,PKK001,1998,1,3.7
205,PKK001,1998,2,7.8
206,PKK001,1998,3,26.4
207,PKK001,1998,4,47.7
208,PKK001,1998,5,135.7
209,PKK001,1998,6,141.4
210,PKK001,1998,7,176.7
211,PKK001,1998,8,184.2
212,PKK001,1998,9,118.7
213,PKK001,1998,10,159.1
214,PKK001,1998,11,26.0
215,PKK001,1998,12,5.9
216,PKK001,1999,1,1.1
217,PKK001,1999,2,13.1
218,PKK001,1999,3,21.9
219,PKK001,1999,4,56.2
220,PKK001,1999,5,130.8
221,PKK001,1999,6,139.2
222,PKK001,1999,7,166.8
223,PKK001,1999,8,186.6
224,PKK001,1999,9,175.5
225,PKK001,1999,10,137.0
226,PKK001,1999,11,42.8
227,PKK001,1999,12,2.5
228,PKK001,2000,1,3.2
229,PKK001,2000,2,15.8
230,PKK001,2000,3,22.599999999999998
231,PKK001,2000,4,57.9
232,PKK001,2000,5,148.0
233,PKK001,2000,6,108.4
234,PKK001,2000,7,145.2
235,PKK001,2000,8,169.7
236,PKK001,2000,9,121.39999999999999
237,PKK001,2000,10,116.39999999999999
238,PKK001,2000,11,28.7
239,PKK001,2000,12,13.7
240,PKK001,2001,1,7.9
241,PKK001,2001,2,8.4
242,PKK001,2001,3,22.5
243,PKK001,2001,4,33.199999999999996
244,PKK001,2001,5,67.9
245,PKK001,2001,6,129.6
246,PKK001,2001,7,127.10000000000001
247,PKK001,2001,8,226.7
248,PKK001,2001,9,109.0
249,PKK001,2001,10,83.7
250,PKK001,2001,11,44.6
251,PKK001,2001,12,6.5
252,PKK001,2002,1,4.3999999999999995
253,PKK001,2002,2,7.5
254,PKK001,2002,3,27.500000000000004
255,PKK001,2002,4,51.1
256,PKK001,2002,5,96.3
257,PKK001,2002,6,103.3
258,PKK001,2002,7,119.9
259,PKK001,2002,8,142.7
260,PKK001,2002,9,181.6
261,PKK001,2002,10,120.7
262,PKK001,2002,11,14.1
263,PKK001,2002,12,14.3
264,PKK001,2003,1,2.7
265,PKK001,2003,2,4.7
266,PKK001,2003,3,20.1
267,PKK001,2003,4,50.800000000000004
268,PKK001,2003,5,131.2
269,PKK001,2003,6,224.6
270,PKK001,2003,7,201.0
271,PKK001,2003,8,179.9
272,PKK001,2003,9,116.8
273,PKK001,2003,10,130.8
274,PKK001,2003,11,14.8
275,PKK001,2003,12,8.7
276,PKK001,2004,1,3.9
277,PKK001,2004,2,3.9
278,PKK001,2004,3,29.3
279,PKK001,2004,4,48.3
280,PKK001,2004,5,139.4
281,PKK001,2004,6,119.9
282,PKK001,2004,7,212.0
283,PKK001,2004,8,143.1
284,PKK001,2004,9,168.7
285,PKK001,2004,10,119.8
286,PKK001,2004,11,37.6
287,PKK001,2004,12,4.6
288,PKK001,2005,1,0.8999999999999999
289,PKK001,2005,2,3.9
290,PKK001,2005,3,13.8
291,PKK001,2005,4,52.6
292,PKK001,2005,5,83.60000000000001
293,PKK001,2005,6,141.8
294,PKK001,2005,7,160.2
295,PKK001,2005,8,187.2
296,PKK001,2005,9,126.2
297,PKK001,2005,10,129.2
298,PKK001,2005,11,26.7
299,PKK001,2005,12,7.9
300,PKK001,2006,1,0.4
301,PKK001,2006,2,6.8
302,PKK001,2006,3,30.7
303,PKK001,2006,4,29.7
304,PKK001,2006,5,166.3
305,PKK001,2006,6,172.9
306,PKK001,2006,7,102.4
307,PKK001,2006,8,171.9
308,PKK001,2006,9,211.6
309,PKK001,2006,10,133.2
310,PKK001,2006,11,14.6
311,PKK001,2006,12,5.199999999999999
312,PKK001,2007,1,3.0
313,PKK001,2007,2,6.9
314,PKK001,2007,3,21.0
315,PKK001,2007,4,51.1
316,PKK001,2007,5,118.8
317,PKK001,2007,6,106.60000000000001
318,PKK001,2007,7,190.29999999999998
319,PKK001,2007,8,193.9
320,PKK001,2007,9,217.5
321,PKK001,2007,10,128.4
322,PKK001,2007,11,34.9
323,PKK001,2007,12,2.6
324,PKK001,2008,1,2.0
325,PKK001,2008,2,7.5
326,PKK001,2008,3,20.3
327,PKK001,2008,4,33.6
328,PKK001,2008,5,173.1
329,PKK001,2008,6,120.30000000000001
330,PKK001,2008,7,135.4
331,PKK001,2008,8,182.0
332,PKK001,2008,9,88.3
333,PKK001,2008,10,147.7
334,PKK001,2008,11,41.5
335,PKK001,2008,12,8.4
336,PKK001,2009,1,5.8999999999999995
337,PKK001,2009,2,2.6
338,PKK001,2009,3,18.0
339,PKK001,2009,4,30.9
340,PKK001,2009,5,128.7
341,PKK001,2009,6,172.7
342,PKK001,2009,7,216.6
343,PKK001,2009,8,202.79999999999998
344,PKK001,2009,9,95.60000000000001
345,PKK001,2009,10,159.2
346,PKK001,2009,11,43.5
347,PKK001,2009,12,4.9
348,PKK001,2010,1,11.2
349,PKK001,2010,2,8.799999999999999
350,PKK001,2010,3,16.8
351,PKK001,2010,4,53.0
352,PKK001,2010,5,200.70000000000002
353,PKK001,2010,6,140.7
354,PKK001,2010,7,232.2
355,PKK001,2010,8,203.6
356,PKK001,2010,9,123.2
357,PKK001,2010,10,99.5
358,PKK001,2010,11,34.8
359,PKK001,2010,12,8.7
360,PKK001,2011,1,11.1
361,PKK001,2011,2,2.0
362,PKK001,2011,3,11.2
363,PKK001,2011,4,52.300000000000004
364,PKK001,2011,5,125.9
365,PKK001,2011,6,156.6
366,PKK001,2011,7,221.3
367,PKK001,2011,8,186.8
368,PKK001,2011,9,109.8
369,PKK001,2011,10,104.7
370,PKK001,2011,11,49.1
371,PKK001,2011,12,9.8
372,PKK001,2012,1,3.3
373,PKK001,2012,2,11.5
374,PKK001,2012,3,20.599999999999998
375,PKK001,2012,4,60.5
376,PKK001,2012,5,103.5
377,PKK001,2012,6,95.8
378,PKK001,2012,7,137.4
379,PKK001,2012,8,196.6
380,PKK001,2012,9,118.3
381,PKK001,2012,10,193.4
382,PKK001,2012,11,30.8
383,PKK001,2012,12,7.9
384,PKK001,2013,1,1.9
385,PKK001,2013,2,4.3
386,PKK001,2013,3,16.0
387,PKK001,2013,4,70.2
388,PKK001,2013,5,82.5
389,PKK001,2013,6,116.3
390,PKK001,2013,7,120.1
391,PKK001,2013,8,176.1
392,PKK001,2013,9,129.1
393,PKK001,2013,10,178.2
394,PKK001,2013,11,31.099999999999998
395,PKK001,2013,12,8.6
396,PKK001,2014,1,3.7
397,PKK001,2014,2,3.5
398,PKK001,2014,3,15.2
399,PKK001,2014,4,58.0
400,PKK001,2014,5,150.0
401,PKK001,2014,6,104.0
402,PKK001,2014,7,109.6
403,PKK001,2014,8,139.7
404,PKK001,2014,9,170.1
405,PKK001,2014,10,65.8
406,PKK001,2014,11,9.9
407,PKK001,2014,12,9.4
408,PKK002,1981,1,0.3
409,PKK002,1981,2,6.9
410,PKK002,1981,3,20.5
411,PKK002,1981,4,52.1
412,PKK002,1981,5,176.1
413,PKK002,1981,6,150.5
414,PKK002,1981,7,143.4
415,PKK002,1981,8,141.4
416,PKK002,1981,9,200.4
417,PKK002,1981,10,136.2
418,PKK002,1981,11,41.2
419,PKK002,1981,12,5.5
420,PKK002,1982,1,7.0
421,PKK002,1982,2,3.9
422,PKK002,1982,3,23.1
423,PKK002,1982,4,42.6
424,PKK002,1982,5,96.8
425,PKK002,1982,6,186.2
426,PKK002,1982,7,126.8
427,PKK002,1982,8,115.39999999999999
428,PKK002,1982,9,97.5
429,PKK002,1982,10,85.2
430,PKK002,1982,11,30.7
431,PKK002,1982,12,6.2
432,PKK002,1983,1,6.7
433,PKK002,1983,2,4.5
434,PKK002,1983,3,36.4
435,PKK002,1983,4,48.4
436,PKK002,1983,5,189.6
437,PKK002,1983,6,172.6
438,PKK002,1983,7,199.1
439,PKK002,1983,8,183.4
440,PKK002,1983,9,211.5
441,PKK002,1983,10,152.4
442,PKK002,1983,11,41.2
443,PKK002,1983,12,10.299999999999999
444,PKK002,1984,1,1.8
445,PKK002,1984,2,4.6
446,PKK002,1984,3,23.9
447,PKK002,1984,4,44.0
448,PKK002,1984,5,158.9
449,PKK002,1984,6,159.1
450,PKK002,1984,7,217.7
451,PKK002,1984,8,164.3
452,PKK002,1984,9,200.7
453,PKK002,1984,10,192.2
454,PKK002,1984,11,29.900000000000002
455,PKK002,1984,12,14.3
456,PKK002,1985,1,1.9
457,PKK002,1985,2,11.9
458,PKK002,1985,3,16.7
459,PKK002,1985,4,62.5
460,PKK002,1985,5,144.2
461,PKK002,1985,6,188.6
462,PKK002,1985,7,159.7
463,PKK002,1985,8,180.7
464,PKK002,1985,9,217.8
465,PKK002,1985,10,137.9
466,PKK002,1985,11,17.900000000000002
467,PKK002,1985,12,7.8
468,PKK002,1986,1,11.399999999999999
469,PKK002,1986,2,1.8
470,PKK002,1986,3,12.8
471,PKK002,1986,4,75.8
472,PKK002,1986,5,147.0
473,PKK002,1986,6,227.2
474,PKK002,1986,7,162.3
475,PKK002,1986,8,200.0
476,PKK002,1986,9,168.7
477,PKK002,1986,10,154.1
478,PKK002,1986,11,42.9
479,PKK002,1986,12,14.6
480,PKK002,1987,1,3.1
481,PKK002,1987,2,6.2
482,PKK002,1987,3,14.0
483,PKK002,1987,4,32.6
484,PKK002,1987,5,144.0
485,PKK002,1987,6,88.5
486,PKK002,1987,7,85.8
487,PKK002,1987,8,215.4
488,PKK002,1987,9,156.5
489,PKK002,1987,10,165.1
490,PKK002,1987,11,35.1
491,PKK002,1987,12,4.8
492,PKK002,1988,1,3.4000000000000004
493,PKK002,1988,2,10.3
494,PKK002,1988,3,27.1
495,PKK002,1988,4,35.9
496,PKK002,1988,5,203.4
497,PKK002,1988,6,153.3
498,PKK002,1988,7,134.7
499,PKK002,1988,8,148.4
500,PKK002,1988,9,137.6
501,PKK002,1988,10,129.1
502,PKK002,1988,11,46.5
503,PKK002,1988,12,15.2
504,PKK002,1989,1,5.8
505,PKK002,1989,2,5.4
506,PKK002,1989,3,19.1
507,PKK002,1989,4,54.4
508,PKK002,1989,5,131.7
509,PKK002,1989,6,168.3
510,PKK002,1989,7,189.5
511,PKK002,1989,8,253.6
512,PKK002,1989,9,83.4
513,PKK002,1989,10,134.7
514,PKK002,1989,11,32.8
515,PKK002,1989,12,6.8
516,PKK002,1990,1,6.1
517,PKK002,1990,2,11.3
518,PKK002,1990,3,23.799999999999997
519,PKK002,1990,4,50.5
520,PKK002,1990,5,95.7
521,PKK002,1990,6,153.3
522,PKK002,1990,7,196.9
523,PKK002,1990,8,210.5
524,PKK002,1990,9,161.6
525,PKK002,1990,10,135.4
526,PKK002,1990,11,24.7
527,PKK002,1990,12,12.6
528,PKK002,1991,1,5.1
529,PKK002,1991,2,5.6000000000000005
530,PKK002,1991,3,15.9
531,PKK002,1991,4,27.3
532,PKK002,1991,5,89.6
533,PKK002,1991,6,184.3
534,PKK002,1991,7,104.8
535,PKK002,1991,8,194.5
536,PKK002,1991,9,189.6
537,PKK002,1991,10,165.0
538,PKK002,1991,11,45.3
539,PKK002,1991,12,7.1
540,PKK002,1992,1,5.9
541,PKK002,1992,2,2.5
542,PKK002,1992,3,15.5
543,PKK002,1992,4,27.9
544,PKK002,1992,5,165.8
545,PKK002,1992,6,129.6
546,PKK002,1992,7,135.9
547,PKK002,1992,8,212.5
548,PKK002,1992,9,157.3
549,PKK002,1992,10,64.9
550,PKK002,1992,11,30.6
551,PKK002,1992,12,8.7
552,PKK002,1993,1,5.4
553,PKK002,1993,2,2.4000000000000004
554,PKK002,1993,3,27.099999999999998
555,PKK002,1993,4,41.1
556,PKK002,1993,5,117.7
557,PKK002,1993,6,109.39999999999999
558,PKK002,1993,7,132.5
559,PKK002,1993,8,240.1
560,PKK002,1993,9,153.7
561,PKK002,1993,10,99.0
562,PKK002,1993,11,55.1
563,PKK002,1993,12,5.3
564,PKK002,1994,1,6.6
565,PKK002,1994,2,5.3
566,PKK002,1994,3,36.6
567,PKK002,1994,4,70.0
568,PKK002,1994,5,119.3
569,PKK002,1994,6,208.0
570,PKK002,1994,7,179.7
571,PKK002,1994,8,129.8
572,PKK002,1994,9,190.1
573,PKK002,1994,10,96.1
574,PKK002,1994,11,47.0
575,PKK002,1994,12,5.5
576,PKK002,1995,1,3.6999999999999997
577,PKK002,1995,2,9.1
578,PKK002,1995,3,25.2
579,PKK002,1995,4,57.6
580,PKK002,1995,5,107.6
581,PKK002,1995,6,111.3
582,PKK002,1995,7,96.7
583,PKK002,1995,8,172.4
584,PKK002,1995,9,161.1
585,PKK002,1995,10,109.0
586,PKK002,1995,11,38.8
587,PKK002,1995,12,10.2
588,PKK002,1996,1,6.3999999999999995
589,PKK002,1996,2,14.6
590,PKK002,1996,3,11.6
591,PKK002,1996,4,48.2
592,PKK002,1996,5,113.2
593,PKK002,1996,6,155.5
594,PKK002,1996,7,161.7
595,PKK002,1996,8,214.5
596,PKK002,1996,9,153.6
597,PKK002,1996,10,148.0
598,PKK002,1996,11,27.6
599,PKK002,1996,12,6.3
600,PKK002,1997,1,7.0
601,PKK002,1997,2,2.6
602,PKK002,1997,3,16.2
603,PKK002,1997,4,74.6
604,PKK002,1997,5,120.6
605,PKK002,1997,6,70.10000000000001
606,PKK002,1997,7,168.7
607,PKK002,1997,8,148.4
608,PKK002,1997,9,134.3
609,PKK002,1997,10,139.5
610,PKK002,1997,11,31.3
611,PKK002,1997,12,10.1
612,PKK002,1998,1,7.3
613,PKK002,1998,2,1.3
614,PKK002,1998,3,17.8
615,PKK002,1998,4,55.9
616,PKK002,1998,5,148.8
617,PKK002,1998,6,168.4
618,PKK002,1998,7,239.3
619,PKK002,1998,8,253.2
620,PKK002,1998,9,233.5
621,PKK002,1998,10,111.7
622,PKK002,1998,11,43.1
623,PKK002,1998,12,10.6
624,PKK002,1999,1,13.100000000000001
625,PKK002,1999,2,20.200000000000003
626,PKK002,1999,3,29.5
627,PKK002,1999,4,106.0
628,PKK002,1999,5,110.1
629,PKK002,1999,6,145.9
630,PKK002,1999,7,158.3
631,PKK002,1999,8,124.1
632,PKK002,1999,9,123.3
633,PKK002,1999,10,116.60000000000001
634,PKK002,1999,11,28.400000000000002
635,PKK002,1999,12,5.8
636,PKK002,2000,1,7.1
637,PKK002,2000,2,2.1
638,PKK002,2000,3,19.4
639,PKK002,2000,4,43.7
640,PKK002,2000,5,141.1
641,PKK002,2000,6,113.1
642,PKK002,2000,7,128.7
643,PKK002,2000,8,192.6
644,PKK002,2000,9,187.3
645,PKK002,2000,10,124.10000000000001
646,PKK002,2000,11,35.6
647,PKK002,2000,12,4.3
648,PKK002,2001,1,4.4
649,PKK002,2001,2,7.1
650,PKK002,2001,3,17.1
651,PKK002,2001,4,51.5
652,PKK002,2001,5,105.5
653,PKK002,2001,6,232.7
654,PKK002,2001,7,164.4
655,PKK002,2001,8,167.4
656,PKK002,2001,9,185.9
657,PKK002,2001,10,144.6
658,PKK002,2001,11,47.4
659,PKK002,2001,12,4.2
660,PKK002,2002,1,6.6000000000000005
661,PKK002,2002,2,7.8
662,PKK002,2002,3,35.7
663,PKK002,2002,4,51.0
664,PKK002,2002,5,112.4
665,PKK002,2002,6,114.4
666,PKK002,2002,7,175.5
667,PKK002,2002,8,157.2
668,PKK002,2002,9,92.6
669,PKK002,2002,10,168.29999999999998
670,PKK002,2002,11,24.200000000000003
671,PKK002,2002,12,7.7
672,PKK002,2003,1,4.8
673,PKK002,2003,2,8.8
674,PKK002,2003,3,12.8
675,PKK002,2003,4,35.6
676,PKK002,2003,5,97.8
677,PKK002,2003,6,138.0
678,PKK002,2003,7,185.3
679,PKK002,2003,8,147.9
680,PKK002,2003,9,151.5
681,PKK002,2003,10,175.7
682,PKK002,2003,11,39.5
683,PKK002,2003,12,17.8
684,PKK002,2004,1,7.0
685,PKK002,2004,2,10.5
686,PKK002,2004,3,19.0
687,PKK002,2004,4,39.8
688,PKK002,2004,5,165.0
689,PKK002,2004,6,167.7
690,PKK002,2004,7,243.8
691,PKK002,2004,8,188.3
692,PKK002,2004,9,153.8
693,PKK002,2004,10,179.6
694,PKK002,2004,11,45.1
695,PKK002,2004,12,10.5
696,PKK002,2005,1,3.3
697,PKK002,2005,2,10.0
698,PKK002,2005,3,43.4
699,PKK002,2005,4,22.599999999999998
700,PKK002,2005,5,204.1
701,PKK002,2005,6,155.1
702,PKK002,2005,7,148.7
703,PKK002,2005,8,139.3
704,PKK002,2005,9,118.10000000000001
705,PKK002,2005,10,164.7
706,PKK002,2005,11,34.4
707,PKK002,2005,12,4.6
708,PKK002,2006,1,1.1
709,PKK002,2006,2,3.8
710,PKK002,2006,3,16.5
711,PKK002,2006,4,41.7
712,PKK002,2006,5,118.8
713,PKK002,2006,6,143.1
714,PKK002,2006,7,174.9
715,PKK002,2006,8,215.0
716,PKK002,2006,9,153.70000000000002
717,PKK002,2006,10,137.4
718,PKK002,2006,11,41.5
719,PKK002,2006,12,4.0
720,PKK002,2007,1,2.5
721,PKK002,2007,2,7.5
722,PKK002,2007,3,41.3
723,PKK002,2007,4,40.8
724,PKK002,2007,5,117.7
725,PKK002,2007,6,178.1
726,PKK002,2007,7,171.1
727,PKK002,2007,8,149.1
728,PKK002,2007,9,118.9
729,PKK002,2007,10,155.1
730,PKK002,2007,11,46.7
731,PKK002,2007,12,17.0
732,PKK002,2008,1,1.6
733,PKK002,2008,2,2.5
734,PKK002,2008,3,9.0
735,PKK002,2008,4,28.3
736,PKK002,2008,5,160.4
737,PKK002,2008,6,171.4
738,PKK002,2008,7,172.5
739,PKK002,2008,8,210.8
740,PKK002,2008,9,151.9
741,PKK002,2008,10,137.5
742,PKK002,2008,11,26.5
743,PKK002,2008,12,12.0
744,PKK002,2009,1,2.5
745,PKK002,2009,2,8.3
746,PKK002,2009,3,17.6
747,PKK002,2009,4,37.4
748,PKK002,2009,5,103.3
749,PKK002,2009,6,189.6
750,PKK002,2009,7,227.70000000000002
751,PKK002,2009,8,137.7
752,PKK002,2009,9,230.2
753,PKK002,2009,10,99.9
754,PKK002,2009,11,46.8
755,PKK002,2009,12,7.2
756,PKK002,2010,1,6.3
757,PKK002,2010,2,10.3
758,PKK002,2010,3,10.9
759,PKK002,2010,4,67.30000000000001
760,PKK002,2010,5,144.5
761,PKK002,2010,6,162.3
762,PKK002,2010,7,171.0
763,PKK002,2010,8,122.5
764,PKK002,2010,9,151.5
765,PKK002,2010,10,183.8
766,PKK002,2010,11,28.9
767,PKK002,2010,12,12.3
768,PKK002,2011,1,3.8
769,PKK002,2011,2,10.200000000000001
770,PKK002,2011,3,18.8
771,PKK002,2011,4,28.599999999999998
772,PKK002,2011,5,126.3
773,PKK002,2011,6,137.0
774,PKK002,2011,7,261.8
775,PKK002,2011,8,230.1
776,PKK002,2011,9,192.3
777,PKK002,2011,10,113.89999999999999
778,PKK002,2011,11,31.7
779,PKK002,2011,12,6.7
780,PKK002,2012,1,6.5
781,PKK002,2012,2,8.0
782,PKK002,2012,3,22.5
783,PKK002,2012,4,38.8
784,PKK002,2012,5,175.3
785,PKK002,2012,6,177.0
786,PKK002,2012,7,178.0
787,PKK002,2012,8,198.0
788,PKK002,2012,9,172.8
789,PKK002,2012,10,134.9
790,PKK002,2012,11,25.1
791,PKK002,2012,12,6.8
792,PKK002,2013,1,2.7
793,PKK002,2013,2,3.2
794,PKK002,2013,3,15.4
795,PKK002,2013,4,17.8
796,PKK002,2013,5,126.80000000000001
797,PKK002,2013,6,114.4
798,PKK002,2013,7,166.9
799,PKK002,2013,8,218.4
800,PKK002,2013,9,69.4
801,PKK002,2013,10,169.5
802,PKK002,2013,11,32.199999999999996
803,PKK002,2013,12,5.3
804,PKK002,2014,1,5.8
805,PKK002,2014,2,4.1
806,PKK002,2014,3,27.7
807,PKK002,2014,4,31.7
808,PKK002,2014,5,81.5
809,PKK002,2014,6,151.5
810,PKK002,2014,7,194.3
811,PKK002,2014,8,210.7
812,PKK002,2014,9,127.3
813,PKK002,2014,10,109.9
814,PKK002,2014,11,38.2
815,PKK002,2014,12,11.299999999999999
816,PKK003,1981,1,3.5
817,PKK003,1981,2,12.7
818,PKK003,1981,3,20.099999999999998
819,PKK003,1981,4,50.8
820,PKK003,1981,5,168.1
821,PKK003,1981,6,170.2
822,PKK003,1981,7,192.5
823,PKK003,1981,8,198.2
824,PKK003,1981,9,162.2
825,PKK003,1981,10,211.6
826,PKK003,1981,11,22.7
827,PKK003,1981,12,7.0
828,PKK003,1982,1,7.7
829,PKK003,1982,2,11.2
830,PKK003,1982,3,27.0
831,PKK003,1982,4,77.1
832,PKK003,1982,5,154.8
833,PKK003,1982,6,205.6
834,PKK003,1982,7,168.70000000000002
835,PKK003,1982,8,275.40000000000003
836,PKK003,1982,9,191.0
837,PKK003,1982,10,142.3
838,PKK003,1982,11,41.6
839,PKK003,1982,12,5.5
840,PKK003,1983,1,2.6
841,PKK003,1983,2,10.2
842,PKK003,1983,3,24.9
843,PKK003,1983,4,65.5
844,PKK003,1983,5,133.3
845,PKK003,1983,6,152.8
846,PKK003,1983,7,151.2
847,PKK003,1983,8,199.2
848,PKK003,1983,9,149.5
849,PKK003,1983,10,110.0
850,PKK003,1983,11,31.0
851,PKK003,1983,12,6.5
852,PKK003,1984,1,7.1
853,PKK003,1984,2,12.0
